timestamp,expiry,strike,illiquid,dte,underlying,option_type,ltp
2026-08-28 10:30:00,2026-09-24,20800.0,False,27,NIFTY,CE,1212.19
2026-08-28 10:30:00,2026-09-24,20800.0,False,27,NIFTY,PE,53.75
2026-08-28 10:30:00,2026-09-24,20900.0,False,27,NIFTY,CE,1118.64
2026-08-28 10:30:00,2026-09-24,20900.0,False,27,NIFTY,PE,66.45
2026-08-28 10:30:00,2026-09-24,21000.0,False,27,NIFTY,CE,1026.75
2026-08-28 10:30:00,2026-09-24,21000.0,False,27,NIFTY,PE,81.43
2026-08-28 10:30:00,2026-09-24,21100.0,False,27,NIFTY,CE,936.86
2026-08-28 10:30:00,2026-09-24,21100.0,False,27,NIFTY,PE,98.93
2026-08-28 10:30:00,2026-09-24,21200.0,False,27,NIFTY,CE,849.35
2026-08-28 10:30:00,2026-09-24,21200.0,False,27,NIFTY,PE,119.2
2026-08-28 10:30:00,2026-09-24,21300.0,False,27,NIFTY,CE,764.64
2026-08-28 10:30:00,2026-09-24,21300.0,False,27,NIFTY,PE,142.46
2026-08-28 10:30:00,2026-09-24,21400.0,False,27,NIFTY,CE,683.15
2026-08-28 10:30:00,2026-09-24,21400.0,False,27,NIFTY,PE,168.92
2026-08-28 10:30:00,2026-09-24,21500.0,False,27,NIFTY,CE,605.34
2026-08-28 10:30:00,2026-09-24,21500.0,False,27,NIFTY,PE,198.78
2026-08-28 10:30:00,2026-09-24,21600.0,False,27,NIFTY,CE,531.61
2026-08-28 10:30:00,2026-09-24,21600.0,False,27,NIFTY,PE,232.21
2026-08-28 10:30:00,2026-09-24,21700.0,False,27,NIFTY,CE,462.4
2026-08-28 10:30:00,2026-09-24,21700.0,False,27,NIFTY,PE,269.34
2026-08-28 10:30:00,2026-09-24,21800.0,False,27,NIFTY,CE,398.05
2026-08-28 10:30:00,2026-09-24,21800.0,False,27,NIFTY,PE,310.28
2026-08-28 10:30:00,2026-09-24,21900.0,False,27,NIFTY,CE,338.86
2026-08-28 10:30:00,2026-09-24,21900.0,False,27,NIFTY,PE,355.1
2026-08-28 10:30:00,2026-09-24,22000.0,False,27,NIFTY,CE,285.06
2026-08-28 10:30:00,2026-09-24,22000.0,False,27,NIFTY,PE,403.82
